artist,song_title,year,artist_genre,youtube_link,imvdb_url
Pet Shop Boys,Liberation,1994,Desconhecido,https://www.youtube.com/watch?v=K1dvlT48UyQ,https://imvdb.com/video/pet-shop-boys/liberation
Martina McBride,Swingin' Doors,1994,Desconhecido,https://www.youtube.com/watch?v=9wx5wh_zvVI,https://imvdb.com/video/martina-mcbride/swingin-doors
Roxette,Crash! Boom! Bang!,1994,Desconhecido,https://www.youtube.com/watch?v=aoXrd3_3fYI,https://imvdb.com/video/roxette/crash-boom-bang
Richard Marx,Silent Scream,1994,Desconhecido,https://www.youtube.com/watch?v=mg57bND2brw,https://imvdb.com/video/richard-marx/silent-scream
Fish,Fortunes Of War,1994,Desconhecido,https://www.youtube.com/watch?v=5MNmDOkVNPc,https://imvdb.com/video/fish/fortunes-of-war
Amy Grant,House of Love,1994,Desconhecido,https://www.youtube.com/watch?v=J5XUCMh87ow,https://imvdb.com/video/amy-grant/house-of-love/2
Tool,Prison Sex,1994,Desconhecido,https://www.youtube.com/watch?v=F5sIXUbMgF0,https://imvdb.com/video/tool/prison-sex
Sammy Kershaw,Christmas Time's A Comin',1994,Desconhecido,https://www.youtube.com/watch?v=CRk_gfWykLE,https://imvdb.com/video/sammy-kershaw/christmas-times-a-comin
Ash,Jack Names The Planets,1994,Desconhecido,https://www.youtube.com/watch?v=WUixl9oelVQ,https://imvdb.com/video/ash/jack-names-the-planets
John Mellencamp,Another Sunny Day 12/25,1994,Desconhecido,,https://imvdb.com/video/john-mellencamp/another-sunny-day-1225
Joe Diffie,In My Own Backyard,1994,Desconhecido,https://www.youtube.com/watch?v=XG5B40TSjN8,https://imvdb.com/video/joe-diffie/in-my-own-backyard
5th Ward Boyz,Ghetto Funk,1994,Desconhecido,https://www.youtube.com/watch?v=PS2BlRMrtTQ,https://imvdb.com/video/5th-ward-boyz/ghetto-funk
Die Krupps,Bloodsuckers,1994,Desconhecido,https://www.youtube.com/watch?v=QrTjl63wZxk,https://imvdb.com/video/die-krupps/bloodsuckers
Warren G,Do You See,1994,Desconhecido,https://www.youtube.com/watch?v=EoezCLhQFaE,https://imvdb.com/video/warren-g/do-you-see
The Prodigy,Voodoo People,1994,Desconhecido,https://www.youtube.com/watch?v=-Fz85FE0KtQ,https://imvdb.com/video/the-prodigy/voodoo-people
Slayer,Serenity in Murder,1994,Desconhecido,https://www.youtube.com/watch?v=JQIEM4M3FsU,https://imvdb.com/video/slayer/serenity-in-murder
Enigma,Return to Innocence,1994,Desconhecido,https://www.youtube.com/watch?v=Rk_sAHh9s08,https://imvdb.com/video/enigma-9/return-to-innocence
Michael Bolton,Completely,1994,Desconhecido,https://www.youtube.com/watch?v=JQblbhrdWsI,https://imvdb.com/video/michael-bolton/completely
